county,week,flood_type,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2014-10-27,unusual,2,0.0,2,0.10615819108387665,2014,10
Aweil Centre,2014-11-03,recurring,66,0.0,25,1.3259516188380613,2014,11
Aweil Centre,2014-11-03,unusual,11,0.0,11,0.5836165197422309,2014,11
Aweil Centre,2014-11-10,recurring,15,0.0,15,0.795500499930958,2014,11
Aweil Centre,2014-11-10,unusual,36,0.0,36,1.9107967651927116,2014,11
Aweil Centre,2014-11-17,recurring,11,0.0,11,0.5834262797696235,2014,11
Aweil Centre,2014-11-17,unusual,10,0.0,9,0.4777672838245018,2014,11
Aweil Centre,2014-11-24,recurring,2,0.0,1,0.05308397244197245,2014,11
Aweil Centre,2014-11-24,unusual,11,0.0,11,0.584186039431873,2014,11
Aweil Centre,2014-12-01,unusual,21,0.0,15,0.7966000795216139,2014,12
Aweil Centre,2015-11-02,unusual,21,0.0,21,1.114325868700777,2015,11
Aweil Centre,2015-11-09,recurring,29,0.0,24,1.2729128866295496,2015,11
Aweil Centre,2015-11-09,unusual,228,0.0,141,7.480523280391644,2015,11
Aweil Centre,2015-11-16,recurring,32,0.0,18,0.9545621333368804,2015,11
Aweil Centre,2015-11-16,unusual,20,0.0,15,0.7956510025130873,2015,11
Aweil Centre,2015-11-23,recurring,38,0.0,19,1.0076352741118084,2015,11
Aweil Centre,2015-11-23,unusual,14,0.0,13,0.6894391050260443,2015,11
Aweil Centre,2016-08-08,recurring,21,0.0,15,0.7955562892795214,2016,8
Aweil Centre,2016-08-08,unusual,18,0.0,16,0.8486316895322376,2016,8
Aweil Centre,2016-08-15,recurring,117,0.0,42,2.2276056944968983,2016,8
Aweil Centre,2016-08-15,unusual,128,0.0,89,4.719919955241014,2016,8
Aweil Centre,2016-08-22,recurring,54,0.0,46,2.4395717783812416,2016,8
Aweil Centre,2016-08-22,unusual,202,0.0,137,7.264542291873118,2016,8
Aweil Centre,2016-09-12,recurring,1,0.0,1,0.05303369447407172,2016,9
Aweil Centre,2016-11-21,unusual,32,0.0,18,0.9559209551280357,2016,11
Aweil Centre,2016-11-28,unusual,13,0.0,13,0.6901717806253183,2016,11
Aweil Centre,2017-01-09,unusual,1,0.0,1,0.053077657385027746,2017,1
Aweil Centre,2017-10-16,recurring,4,0.0,4,0.21233989600920347,2017,10
Aweil Centre,2017-10-16,unusual,20,0.0,15,0.7963872433324257,2017,10
Aweil Centre,2017-10-23,unusual,4,0.0,4,0.2123438965655306,2017,10
Aweil Centre,2017-10-30,unusual,4,0.0,2,0.10617309229925863,2017,10
Aweil Centre,2017-11-06,unusual,12,0.0,7,0.3716489355368902,2017,11
Aweil Centre,2017-11-20,unusual,6,0.0,3,0.1591904089125155,2017,11
Aweil Centre,2017-12-18,unusual,5,0.0,5,0.26555230331811075,2017,12
Aweil Centre,2018-01-22,unusual,3,0.0,3,0.15909002463074126,2018,1
Aweil Centre,2018-01-29,unusual,2,0.0,2,0.10605722465411405,2018,1
Aweil Centre,2018-05-21,unusual,1,0.0,1,0.05307909554193833,2018,5
Aweil Centre,2018-10-22,unusual,2,0.0,2,0.10603979260250174,2018,10
Aweil Centre,2019-02-25,unusual,1,0.0,1,0.05304763929115732,2019,2
Aweil Centre,2019-06-10,unusual,3,0.0,3,0.1591248760833347,2019,6
Aweil Centre,2019-09-09,unusual,3,0.0,3,0.15912428298037973,2019,9
Aweil Centre,2019-09-23,unusual,3,0.0,3,0.15912369000883736,2019,9
Aweil Centre,2019-10-28,unusual,3,0.0,3,0.1591248760833347,2019,10
Aweil Centre,2019-11-04,unusual,19,0.0,10,0.530437223518145,2019,11
Aweil Centre,2019-11-11,unusual,7,0.0,7,0.37135525611666753,2019,11
Aweil Centre,2019-11-25,unusual,18,0.0,12,0.6373054747220812,2019,11
Aweil Centre,2019-12-02,unusual,5,0.0,5,0.26545743210361067,2019,12
Aweil Centre,2019-12-09,unusual,49,0.0,43,2.2838790118485854,2019,12
Aweil Centre,2019-12-23,unusual,1,0.0,1,0.053091676508877375,2019,12
Aweil Centre,2020-08-31,recurring,105,0.0,74,3.9253047455158616,2020,8
Aweil Centre,2020-08-31,unusual,282,0.0,248,13.153782126561545,2020,8
Aweil Centre,2020-09-07,recurring,98,0.0,58,3.076184258612259,2020,9
Aweil Centre,2020-09-07,unusual,374,0.0,262,13.893590596415304,2020,9
Aweil Centre,2020-09-14,recurring,72,0.0,45,2.3867746691982656,2020,9
Aweil Centre,2020-09-14,unusual,51,0.0,47,2.493053288925424,2020,9
Aweil Centre,2020-09-21,recurring,30,0.0,15,0.7955917865447837,2020,9
Aweil Centre,2020-09-21,unusual,18,0.0,9,0.47763106945611766,2020,9
Aweil Centre,2020-09-28,recurring,142,0.0,66,3.5009272593700853,2020,9
Aweil Centre,2020-09-28,unusual,947,0.0,589,31.24435507690525,2020,9
Aweil Centre,2020-10-05,recurring,161,0.0,60,3.182422293653187,2020,10
Aweil Centre,2020-10-05,unusual,1341,0.0,1084,57.50274876052825,2020,10
Aweil Centre,2020-10-12,recurring,272,0.0,63,3.3415315019109046,2020,10
Aweil Centre,2020-10-12,unusual,1967,0.0,870,46.144607572515824,2020,10
Aweil Centre,2020-10-19,recurring,75,0.0,34,1.8032902283993437,2020,10
Aweil Centre,2020-10-19,unusual,84,0.0,46,2.440214080303965,2020,10
Aweil Centre,2020-10-26,recurring,78,0.0,36,1.9095534977708843,2020,10
Aweil Centre,2020-10-26,unusual,127,0.0,64,3.39505275418644,2020,10
Aweil Centre,2020-11-02,recurring,140,0.0,35,1.8564442190029709,2020,11
Aweil Centre,2020-11-02,unusual,614,0.0,236,12.517752614947693,2020,11
Aweil Centre,2020-11-09,recurring,126,0.0,33,1.7503759352729698,2020,11
Aweil Centre,2020-11-09,unusual,660,0.0,298,15.807677807112807,2020,11
Aweil Centre,2020-11-16,recurring,50,0.0,20,1.0608958719615917,2020,11
Aweil Centre,2020-11-16,unusual,144,0.0,80,4.243712280368963,2020,11
Aweil Centre,2020-11-23,recurring,1,0.0,1,0.05308397244197245,2020,11
Aweil Centre,2020-11-23,unusual,2,0.0,2,0.10617594691845343,2020,11
Aweil Centre,2020-11-30,unusual,2,0.0,2,0.10625885746932373,2020,11
Aweil Centre,2020-12-07,unusual,1,0.0,1,0.05312750263959195,2020,12
Aweil Centre,2021-07-26,unusual,2,0.0,2,0.10610822665523202,2021,7
Aweil Centre,2021-08-02,recurring,62,0.0,25,1.3262755222481688,2021,8
Aweil Centre,2021-08-02,unusual,297,0.0,105,5.5701490034313395,2021,8
Aweil Centre,2021-08-09,recurring,9,0.0,5,0.26519080820996777,2021,8
Aweil Centre,2021-08-09,unusual,78,0.0,44,2.333955745724571,2021,8
Aweil Centre,2021-08-16,recurring,5,0.0,5,0.26520901169659855,2021,8
Aweil Centre,2021-08-16,unusual,12,0.0,12,0.6366508270451532,2021,8
Aweil Centre,2021-08-23,recurring,11,0.0,11,0.5834429316730476,2021,8
Aweil Centre,2021-08-23,unusual,52,0.0,42,2.2278739140722923,2021,8
Aweil Centre,2021-09-20,recurring,13,0.0,8,0.4244437920001581,2021,9
Aweil Centre,2021-09-20,unusual,18,0.0,10,0.5307773902870153,2021,9
