county,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks
Aweil North,6,2003-11-03,2003-11-03,1,0.2118793627194367,0.2118793627194367
Aweil North,7,2003-12-15,2003-12-15,1,0.052948046058711125,0.052948046058711125
Aweil North,8,2004-10-18,2004-10-18,1,0.052956285822209355,0.052956285822209355
Aweil North,9,2004-11-08,2004-11-08,1,0.10586541998022837,0.10586541998022837
Aweil North,10,2005-10-31,2005-11-14,3,0.4236534451039283,0.5824993477934601
Aweil North,11,2006-01-16,2006-01-16,1,0.05297106061926995,0.05297106061926995
Aweil North,12,2006-10-02,2006-10-09,2,1.642857319766313,2.3849607230301175
Aweil North,13,2006-10-30,2006-10-30,1,1.2710253535820928,1.2710253535820928
Aweil North,14,2006-11-20,2006-11-27,2,0.10594305925656775,0.2118861185131355
Aweil North,15,2007-09-17,2007-10-15,5,15.21124711480627,47.06625570345626
Aweil North,16,2007-10-29,2007-10-29,1,0.10595117521819841,0.10595117521819841
Aweil North,17,2008-08-25,2008-08-25,1,0.5300495343186433,0.5300495343186433
Aweil North,18,2008-09-08,2008-11-10,10,12.03209255154761,45.52612209285286
Aweil North,19,2009-01-19,2009-01-19,1,0.37087280757257485,0.37087280757257485
Aweil North,20,2009-09-28,2009-09-28,1,0.052980410460080285,0.052980410460080285
Aweil North,21,2009-10-19,2009-10-26,2,0.31759593843720446,0.37060402012339155
Aweil North,22,2010-04-26,2010-04-26,1,0.05292239631419467,0.05292239631419467
Aweil North,23,2010-09-27,2010-11-01,6,16.85466624223978,56.872527164862255
Aweil North,24,2010-11-15,2010-11-15,1,0.05299983996682081,0.05299983996682081
Aweil North,25,2011-09-12,2011-09-12,1,0.15897746844421468,0.15897746844421468
Aweil North,26,2012-09-17,2012-09-17,1,0.10602467032003991,0.10602467032003991
Aweil North,27,2012-12-24,2012-12-31,2,0.052954388572403956,0.10590877714480791
Aweil North,28,2013-03-11,2013-03-11,1,0.15879170142495938,0.15879170142495938
Aweil North,29,2013-09-16,2013-09-16,1,0.42385942307552466,0.42385942307552466
Aweil North,30,2013-10-07,2013-10-14,2,0.8481253504771746,0.9541412095839321
Aweil North,31,2013-11-04,2013-11-04,1,0.05296133297669404,0.05296133297669404
Aweil North,32,2013-11-25,2013-11-25,1,0.10589926869766582,0.10589926869766582
Aweil North,33,2014-09-29,2014-10-20,4,1.536901556142386,2.914949508673102
Aweil North,34,2014-11-17,2014-12-01,3,1.8514180497399129,2.2218456682783865
Aweil North,35,2015-11-09,2015-11-09,1,0.21188048186757535,0.21188048186757535
Aweil North,36,2017-11-13,2017-11-13,1,0.10583101495658523,0.10583101495658523
Aweil North,37,2018-08-27,2018-08-27,1,1.0601628461538335,1.0601628461538335
Aweil North,38,2018-09-10,2018-09-24,3,4.50552903238674,7.10253909471176
Aweil North,39,2018-10-22,2018-10-22,1,0.052999533669429735,0.052999533669429735
Aweil North,40,2019-06-03,2019-06-17,3,7.315054714138193,7.739111099696676
Aweil North,41,2019-07-15,2019-07-15,1,0.15885175903491586,0.15885175903491586
Aweil North,42,2019-11-18,2019-11-18,1,0.052927884371993146,0.052927884371993146
Aweil North,43,2019-12-23,2019-12-23,1,0.05292142567324145,0.05292142567324145
Aweil North,44,2020-02-03,2020-02-03,1,0.10596578613284352,0.10596578613284352
Aweil North,45,2020-04-20,2020-04-20,1,0.10583182765142378,0.10583182765142378
Aweil North,46,2020-05-04,2020-05-04,1,0.10587695971771323,0.10587695971771323
Aweil North,47,2020-09-14,2020-11-09,9,24.590864517347498,87.71353655443815
Aweil North,48,2020-11-30,2020-11-30,1,0.7409944205757137,0.7409944205757137
Aweil North,49,2021-08-02,2021-08-09,2,0.794839928908593,1.324681847663519
Aweil North,50,2021-08-23,2021-08-23,1,2.437391179057754,2.437391179057754
Aweil North,51,2021-09-06,2021-09-06,1,0.15901998247269203,0.15901998247269203
Aweil North,52,2021-09-20,2021-10-11,4,2.119526502203945,3.285127782685218
Aweil North,53,2021-11-08,2021-11-22,3,0.794071984992532,1.6942475532490973
Aweil North,54,2022-08-22,2022-11-14,13,42.846643336462506,130.0092818725611
Aweil North,55,2024-09-02,2024-11-11,11,7.948492020579804,29.409239231182838
Aweil North,56,2025-09-29,2025-11-10,7,14.625245861111175,25.170747132885413
Aweil South,1,2000-11-20,2000-11-20,1,0.26521069560812843,0.26521069560812843
Aweil South,2,2001-10-01,2001-10-08,2,6.415372730065611,6.786835056894403
Aweil South,3,2001-10-22,2001-12-10,8,11.929589863861462,49.94568453593786
Aweil South,4,2002-07-22,2002-07-22,1,0.21213537199294696,0.21213537199294696
Aweil South,5,2002-11-04,2002-11-25,4,0.10605902136244591,0.31817616621757133
Aweil South,6,2003-08-25,2003-09-29,6,19.458550886024945,60.974287261357304
Aweil South,7,2003-10-13,2003-12-15,10,23.1203915451451,129.07140494820928
Aweil South,8,2003-12-29,2003-12-29,1,0.10605542695797585,0.10605542695797585
Aweil South,9,2004-09-27,2004-09-27,1,1.2726068922857896,1.2726068922857896
Aweil South,10,2005-09-19,2005-12-12,13,35.54756832611772,156.4562574697657
Aweil South,11,2006-06-26,2006-06-26,1,0.21215324149612197,0.21215324149612197
Aweil South,12,2006-10-02,2006-10-09,2,4.1898217600093215,6.522903037662314
Aweil South,13,2006-10-23,2006-12-04,7,12.99219418212242,46.60792556152627
Aweil South,14,2006-12-18,2007-01-08,4,1.5379153933321306,4.083334361982911
Aweil South,15,2007-03-26,2007-03-26,1,0.053036971923419045,0.053036971923419045
Aweil South,16,2007-09-17,2007-11-12,9,27.414402876689778,118.36627917684896
Aweil South,17,2007-11-26,2008-01-07,7,4.083345110288218,7.477522818030989
Aweil South,18,2008-07-21,2008-07-21,1,0.6893497778514265,0.6893497778514265
Aweil South,19,2008-08-04,2009-01-19,25,169.81083513225167,1374.9029843713315
Aweil South,20,2009-04-06,2009-04-06,1,0.3712480846079461,0.3712480846079461
Aweil South,21,2009-05-18,2009-05-18,1,0.053052057156465535,0.053052057156465535
Aweil South,22,2009-08-31,2009-08-31,1,0.37120956750843204,0.37120956750843204
Aweil South,23,2009-09-28,2009-10-12,3,0.10610028921020777,0.26525028145193186
Aweil South,24,2010-09-20,2010-12-20,14,68.40376228548753,384.45076114987955
Aweil South,25,2011-10-17,2011-10-17,1,0.3714864121002812,0.3714864121002812
Aweil South,26,2011-10-31,2012-01-02,10,4.669262015659732,19.41510222390022
Aweil South,27,2012-08-13,2012-08-27,3,1.9625710912184076,2.864290751467495
Aweil South,28,2012-09-10,2012-12-03,13,15.6528359884287,76.60588903408217
Aweil South,29,2012-12-17,2012-12-24,2,0.1590825408086864,0.21211025428767433
Aweil South,30,2013-03-11,2013-03-11,1,0.15911091577025713,0.15911091577025713
Aweil South,31,2013-08-19,2013-11-25,15,42.42528291416299,170.47879243401513
Aweil South,32,2014-09-08,2015-01-12,19,54.841337638564085,363.7625843343876
