state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Lakes,Awerial,SS0401,2000-12-18,unusual,7,7,0.37347570387289264
Lakes,Awerial,SS0401,2000-12-25,recurring,3,1,0.05335067637054198
Lakes,Awerial,SS0401,2000-12-25,unusual,17,8,0.42680604310243697
Lakes,Yirol East,SS0407,2000-02-28,unusual,28,19,1.0122225597294232
Lakes,Yirol East,SS0407,2000-03-06,recurring,1,1,0.053255692869876935
Lakes,Yirol East,SS0407,2000-03-06,unusual,15,8,0.4262092374468136
Lakes,Yirol East,SS0407,2000-03-13,unusual,15,15,0.799127325858958
Lakes,Yirol East,SS0407,2000-03-27,recurring,2,1,0.05326952022087688
Lakes,Yirol East,SS0407,2000-03-27,unusual,59,45,2.397262466215285
Lakes,Yirol East,SS0407,2000-04-03,recurring,2,2,0.10653596180062154
Lakes,Yirol East,SS0407,2000-04-03,unusual,16,15,0.799003249978006
Lakes,Yirol East,SS0407,2000-04-17,unusual,8,8,0.426165967882027
Lakes,Yirol East,SS0407,2000-05-01,recurring,1,1,0.05324965973482722
Lakes,Yirol East,SS0407,2000-05-01,unusual,11,10,0.5326227303373241
Lakes,Yirol East,SS0407,2000-05-15,unusual,28,21,1.118779921202155
Lakes,Yirol East,SS0407,2000-06-19,recurring,1,1,0.05326952022087688
Lakes,Yirol East,SS0407,2000-06-19,unusual,7,7,0.3728941906306342
Lakes,Yirol East,SS0407,2000-07-31,unusual,4,4,0.21306679185757504
Lakes,Yirol East,SS0407,2000-08-21,unusual,12,12,0.6393253316067306
Lakes,Yirol East,SS0407,2000-08-28,unusual,2,2,0.10655736911735522
Lakes,Yirol East,SS0407,2000-09-11,unusual,33,21,1.1187493861527913
Lakes,Yirol East,SS0407,2000-09-25,unusual,4,4,0.21311777431658246
Lakes,Yirol East,SS0407,2000-10-16,unusual,8,8,0.4260947149567181
Lakes,Yirol East,SS0407,2000-10-23,recurring,1,1,0.05327046508388987
Lakes,Yirol East,SS0407,2000-11-13,unusual,1,1,0.05326975654224049
Lakes,Yirol East,SS0407,2000-11-20,unusual,3,3,0.15980335495013126
Lakes,Yirol East,SS0407,2000-11-27,recurring,1,1,0.05326644157974466
Lakes,Yirol East,SS0407,2000-11-27,unusual,40,21,1.1187107002520662
Lakes,Yirol East,SS0407,2000-12-04,recurring,2,1,0.053259770245619065
Lakes,Yirol East,SS0407,2000-12-04,unusual,42,22,1.1719079129611243
Lakes,Yirol East,SS0407,2000-12-11,unusual,1,1,0.05327915180479474
Lakes,Yirol East,SS0407,2000-12-18,recurring,5,3,0.1598240244750627
Lakes,Yirol East,SS0407,2000-12-18,unusual,32,14,0.7457423529242021
Lakes,Yirol East,SS0407,2000-12-25,unusual,6,6,0.3196145032483695
Lakes,Yirol West,SS0408,2000-09-18,recurring,2,2,0.10662631416846823
Lakes,Yirol West,SS0408,2000-10-30,recurring,4,3,0.15993947125270233
Lakes,Yirol West,SS0408,2000-11-27,recurring,2,1,0.05332377858077125
Lakes,Yirol West,SS0408,2000-12-04,recurring,1,1,0.05332377858077125
Lakes,Yirol West,SS0408,2000-12-18,unusual,2,2,0.10667122965452827
Lakes,Yirol West,SS0408,2000-12-25,unusual,11,11,0.5866306267510228
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000-10-16,recurring,18,9,0.47740704311982285
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000-10-16,unusual,35,18,0.9550880594337247
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000-10-23,recurring,14,14,0.7425444066080542
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000-10-23,unusual,24,24,1.2733825864168529
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000-10-30,recurring,78,41,2.1745602674845
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000-10-30,unusual,74,42,2.2280628815003154
Northern Bahr el Ghazal,Aweil East,SS0502,2000-10-30,recurring,28,14,0.7422111723705037
Northern Bahr el Ghazal,Aweil South,SS0504,2000-11-20,unusual,5,5,0.26521069560812843
Northern Bahr el Ghazal,Aweil West,SS0505,2000-10-30,recurring,6,3,0.1590333585741369
Unity,Koch,SS0603,2000-03-13,recurring,2,1,0.053051174792071845
Unity,Koch,SS0603,2000-03-27,recurring,7,4,0.2121798647647622
Unity,Koch,SS0603,2000-03-27,unusual,6,4,0.21221850730130462
Unity,Koch,SS0603,2000-04-03,recurring,2,2,0.10609969883775047
Unity,Koch,SS0603,2000-04-03,unusual,16,14,0.7427649224182546
Unity,Koch,SS0603,2000-09-11,recurring,1,1,0.05305176306028942
Unity,Koch,SS0603,2000-09-18,unusual,1,1,0.05304999741390803
Unity,Koch,SS0603,2000-10-23,recurring,2,2,0.10609910902650022
Unity,Koch,SS0603,2000-10-23,unusual,1,1,0.053047049059083716
Unity,Koch,SS0603,2000-10-30,recurring,1,1,0.05304793423442838
Unity,Koch,SS0603,2000-11-06,recurring,3,2,0.10609881548591911
Unity,Koch,SS0603,2000-11-06,unusual,2,1,0.05305411332761601
Unity,Koch,SS0603,2000-11-20,recurring,7,6,0.31829467753101826
Unity,Koch,SS0603,2000-11-20,unusual,4,2,0.10610793318453551
Unity,Koch,SS0603,2000-11-27,recurring,4,3,0.1591482213403964
Unity,Koch,SS0603,2000-11-27,unusual,2,2,0.10609439320174024
Unity,Koch,SS0603,2000-12-04,recurring,1,1,0.05304763929115732
Unity,Koch,SS0603,2000-12-11,recurring,8,4,0.21219998566336076
Unity,Koch,SS0603,2000-12-11,unusual,7,5,0.26525645128626807
Unity,Koch,SS0603,2000-12-18,recurring,3,3,0.1591455722020048
Unity,Koch,SS0603,2000-12-18,unusual,12,12,0.6365483038891104
Unity,Koch,SS0603,2000-12-25,recurring,11,6,0.31829349789774425
Unity,Koch,SS0603,2000-12-25,unusual,10,6,0.31831615606994584
Unity,Leer,SS0604,2000-03-06,recurring,1,1,0.05309480051802921
Unity,Leer,SS0604,2000-12-11,recurring,3,2,0.10618874983917947
Unity,Mayendit,SS0605,2000-04-03,recurring,2,2,0.10622449336611378
Unity,Mayendit,SS0605,2000-04-03,unusual,1,1,0.05310945339256949
Unity,Mayendit,SS0605,2000-05-01,recurring,2,1,0.05310973337963146
Unity,Mayendit,SS0605,2000-05-01,unusual,3,2,0.10621890678513898
Unity,Mayendit,SS0605,2000-09-11,recurring,1,1,0.05310945339256949
Unity,Mayendit,SS0605,2000-10-16,recurring,22,11,0.5842059467488288
Unity,Mayendit,SS0605,2000-10-23,recurring,5,3,0.1593297597164866
Unity,Mayendit,SS0605,2000-10-30,recurring,2,2,0.10621918677220095
Unity,Mayendit,SS0605,2000-11-20,recurring,3,1,0.05310973337963146
Unity,Mayendit,SS0605,2000-11-20,unusual,13,9,0.4784371843446995
Unity,Mayendit,SS0605,2000-11-27,recurring,2,2,0.10621918677220095
Unity,Mayendit,SS0605,2000-12-11,recurring,8,6,0.31867180850731364
Unity,Mayendit,SS0605,2000-12-25,recurring,2,2,0.10621918677220095
Unity,Mayom,SS0606,2000-03-13,recurring,1,1,0.05304468519035104
Unity,Mayom,SS0606,2000-03-13,unusual,5,5,0.26506378175654294
Unity,Mayom,SS0606,2000-03-27,unusual,4,2,0.10603828424436401
Unity,Mayom,SS0606,2000-09-11,recurring,1,1,0.05304468519035104
Unity,Mayom,SS0606,2000-10-16,recurring,2,2,0.10608759463496953
Unity,Mayom,SS0606,2000-10-23,recurring,1,1,0.0530390532670001
