state,county,county_code,detected_weeks,largest_weekly_flood_area_km2,largest_weekly_flood_percent,flood_area_km2_weeks,flooded_rangeland_km2_weeks,potential_cattle_weeks,peak_potential_cattle_exposed,peak_flooded_rangeland_km2,mapped_cattle,mapped_rangeland_km2,mean_weekly_potential_cattle_exposed,mean_weekly_flooded_rangeland_km2,cattle_exposure_weeks_per_year,rangeland_exposure_weeks_per_year,cattle_absolute_rank,rangeland_absolute_rank
Upper Nile,Maiwut,SS0706,302,30.281753686180984,0.8214828305755101,482.7880571256418,435.012504170581,7733.221380416947,462.7478405166453,26.627023567797394,57170.19636334423,2145.136482772502,5.69876299220114,0.3205692735229042,0.005202563756545044,0.0077996203480640534,53,49
Upper Nile,Malakal,SS0707,327,49.42350695145416,6.548932014152893,1177.6129726301433,619.3862188651524,25501.115212416396,1111.559547712389,36.38719654994854,14137.500063310226,586.6149673191094,18.792273553733526,0.4564378915734358,0.06937663088680648,0.04061019272709733,45,45
Upper Nile,Melut,SS0709,92,11.997371557900143,0.1728366844312842,237.4665619940222,216.80139211488705,3140.042560159625,169.90465356848767,10.895940013624932,92664.47493130254,4980.504810976144,2.3139591452908066,0.15976521158060947,0.0013033135706858692,0.001674230905864243,60,56
Upper Nile,Panyikang,SS0710,787,195.30749100572805,3.821830219414815,11020.853930874906,3851.5324272075163,126422.36397602494,2489.647906135432,113.63529897369357,50994.37039438586,3883.1264473312813,93.1631274694362,2.8382700274189507,0.09535167464285067,0.038148606437143545,28,23
Upper Nile,Ulang,SS0712,809,519.9132615402068,10.756257674874714,16063.396634129565,2833.8222809889958,305668.6496164594,9672.979019547227,96.06368460386027,73554.99237730731,923.7064863288346,225.2532421639347,2.0882993964546763,0.15983261154326497,0.11799545230715412,18,27
Warrap,Gogrial East,SS0801,792,285.92393088022936,6.461847033838682,10140.878293844484,4721.904422442519,518649.1742456546,16286.802013584796,207.1963882773448,206271.32815608417,2002.0456804618725,382.202781315884,3.4796642759340597,0.0967077942514621,0.09071306930098798,15,20
Warrap,Gogrial West,SS0802,439,393.4379031352951,8.939611624731176,14915.064267440515,6075.993956252113,837639.6412566637,22100.187042037862,174.0130033706859,244418.04604152858,2695.836128265535,617.2731328346822,4.477519496132729,0.13181068174331342,0.08668630588863732,10,14
Warrap,Tonj East,SS0803,307,49.91581352748411,1.1289567153172602,894.5426332639072,568.0275926875935,44855.476758151344,2835.604508821579,28.500760375087236,222152.49576464493,3145.455812920198,33.0548833884682,0.41859070942342924,0.007765884594751629,0.006945643621388636,37,46
Warrap,Tonj North,SS0804,1047,459.7423066060355,4.094667400487015,53868.45586878839,5002.354462908707,1660447.4861923007,17393.18432377517,242.08676836753725,512008.5597465371,6031.486693973456,1223.616423133604,3.686333428819976,0.12473104919410863,0.031898975880300356,4,19
Warrap,Tonj South,SS0805,326,110.39177592689009,1.4870972162013023,1658.3158467392796,1385.0096654205433,84755.41252884746,5964.442321685448,97.03572965906342,193556.79397429893,4666.597617995273,62.45793111926858,1.0206408735597223,0.016841690192671174,0.01141508372411566,32,33
Warrap,Twic,SS0806,1021,320.0997419587914,8.08932341972286,15189.560123145335,2494.787238438343,916336.258458399,20757.794121991963,90.12982775542186,243078.4653210141,1391.3044957703369,675.2662184660272,1.8384578028285505,0.1449889944049813,0.06896646680597711,7,29
Western Bahr el Ghazal,Jur River,SS0901,373,87.73620036435315,0.8731510503908287,1869.2638775478536,1249.9535332941002,65297.29773532888,3132.721090178654,62.54989697328269,283219.50814170716,6432.956364501161,48.11886347481863,0.9211153524643333,0.008867448943613371,0.0074732569555762685,34,34
Western Bahr el Ghazal,Raja,SS0902,269,20.28323315548374,0.03270931644777213,290.0635064988406,190.01125786660282,4070.936958123044,254.7894799819891,10.592624311326958,737917.1796449482,28623.919198127707,2.9999535432004745,0.14002303453692175,0.00021218437882783035,0.0002553153274356529,57,58
Western Bahr el Ghazal,Wau,SS0903,198,21.224640860444243,0.11047119855859173,361.0320231724133,239.71594792794065,14256.53852450689,858.3592687070483,14.804039786136553,429582.2103562287,9126.091408097496,10.505923746873169,0.17665139862044263,0.001276422513711702,0.0010102730444814477,49,54
Western Equatoria,Ezo,SS1001,92,2.4572698572741296,0.03044034701514042,39.23490075841198,22.22908920995127,200.30323426616593,24.071717352614936,1.8812129251884053,58471.99096145854,2573.806730761859,0.14760739444816945,0.016381053212933875,0.00013175488677607568,0.0003321791645794775,76,72
Western Equatoria,Ibba,SS1002,158,13.147782472431205,0.13684164805798735,148.93942057208838,58.61185642733404,1264.2077964817013,114.99467167820444,5.063087355890671,79247.36853544826,2917.0677764141487,0.9316195994706715,0.043192230233849695,0.0006135645597621068,0.0007727973235689486,66,66
Western Equatoria,Maridi,SS1003,156,5.287232732760463,0.06883267203860836,94.90175760889909,30.847549744861695,981.7172694903155,61.69106697726553,3.400876879834453,76710.0102921582,1775.0712719078053,0.7234467719162236,0.022732166355830283,0.0004922220238929912,0.000668392441324937,69,70
Western Equatoria,Mundri East,SS1004,163,5.180267682255122,0.10197835691602887,88.00205446487877,62.828811447902986,1693.178215440514,98.96579783691148,4.2729088207898345,98504.7244839144,3232.2039120206655,1.2477363415184333,0.04629978736028223,0.0006611077732219707,0.000747630042463985,65,65
Western Equatoria,Mundri West,SS1005,149,8.928319797563452,0.15202477631756098,96.62695840016791,52.666154002870414,1134.0009207262226,90.87509923977262,3.3239101057473532,64017.3937232659,2955.0765719270903,0.835667590807828,0.03881072513107621,0.0006813057747472848,0.0006854716818663492,68,67
Western Equatoria,Mvolo,SS1006,208,14.7306129727481,0.2579389667523788,184.0341137149004,154.95091661950605,3590.021410976408,299.5802865598292,13.830209218397158,110548.4878477016,3954.5534747074084,2.6455574141314724,0.11418637923323953,0.0012490242902846403,0.0015070350362761794,58,61
Western Equatoria,Nagero,SS1007,116,10.660839068899287,0.11591879732017848,97.02920253286048,72.89285416899901,143.7044479422771,19.458432161346728,8.415097764608161,50166.47403298089,5108.310089549497,0.10589863518222337,0.053716178459100226,0.0001101750573100348,0.000548825593013191,77,64
Western Equatoria,Nzara,SS1008,105,3.096462100076663,0.04805133364644557,35.45852336834393,16.895173015947027,324.62380303196613,29.283200693972848,1.348970067778031,57081.95646585414,2187.881674019912,0.23922166767278272,0.012450385420742097,0.00021872990448940853,0.0002970061655908725,73,74
Western Equatoria,Tambura,SS1009,77,5.2261399346131725,0.04196047425191611,36.178327908282704,17.83825617733485,271.02930827214016,37.0600159773953,2.3160642578028385,90981.03850918311,4734.411063283882,0.19972682997210034,0.013145361958242336,0.00011457556799883004,0.00014491491483957814,75,73
Western Equatoria,Yambio,SS1010,152,8.442925718076863,0.0960286793618932,79.55696828519739,34.88254181312463,793.2897396282121,73.04831562563248,3.5538969217046263,84882.59124263177,2849.2758670603544,0.5845908177068623,0.025705631402449986,0.0003594511358005088,0.0004708691913941998,70,69
